,size,db,task,method,trial,fold,score,scorer,selection,X_shape,Type,imputation_WCT,tuning_WCT,imputation_PT,tuning_PT
49,2500,MIMIC,hemo_pvals,Iter+mask,4,4,0.7930085011799642,roc_auc_score,ANOVA,"(30836, 100)",Classification,8.820306,118.191854,281.532418,3781.4386210000002
50,2500,MIMIC,hemo_pvals,KNN,0,0,0.7370909230561441,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.489785,83.11596999999999,15.6165,2654.394759
51,2500,MIMIC,hemo_pvals,KNN,0,1,0.7235854344637602,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.322458,79.510267,16.575045000000003,2542.868979
52,2500,MIMIC,hemo_pvals,KNN,0,2,0.7158573479477166,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.345189,80.048223,16.726879999999998,2560.013984
53,2500,MIMIC,hemo_pvals,KNN,0,3,0.7049088154487512,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.2680050000000005,79.20102,13.92571,2532.767294
54,2500,MIMIC,hemo_pvals,KNN,0,4,0.7194488062921074,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.082075,82.047951,16.180672,2620.422325
55,2500,MIMIC,hemo_pvals,KNN,1,0,0.7218706134304058,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.786165,82.479019,15.792152999999999,2629.2773239999997
56,2500,MIMIC,hemo_pvals,KNN,1,1,0.7452991939823331,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.029503,78.657036,18.568747000000002,2509.659782
57,2500,MIMIC,hemo_pvals,KNN,1,2,0.7421900775984567,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.791368,78.566983,15.976135000000001,2507.01725
58,2500,MIMIC,hemo_pvals,KNN,1,3,0.7209197378317396,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.734097,79.21230600000001,17.501659,2524.329369
59,2500,MIMIC,hemo_pvals,KNN,1,4,0.7290316094074374,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.183345,78.424266,15.662767,2502.416699
60,2500,MIMIC,hemo_pvals,KNN,2,0,0.7110000116507721,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.658756,80.215226,15.626081,2564.8305579999997
61,2500,MIMIC,hemo_pvals,KNN,2,1,0.7193494726731143,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.3729129999999996,75.90118199999999,17.518664,2426.3377179999998
62,2500,MIMIC,hemo_pvals,KNN,2,2,0.7222865028395521,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.731566,76.439676,17.873410999999997,2444.240743
63,2500,MIMIC,hemo_pvals,KNN,2,3,0.709798515001232,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.3725989999999997,76.472741,17.163806,2445.432703
64,2500,MIMIC,hemo_pvals,KNN,2,4,0.6811477132339394,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.814213,82.604646,18.673103,2637.907265
65,2500,MIMIC,hemo_pvals,KNN,3,0,0.7579363117021649,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.698997,78.647121,16.679484,2514.89736
66,2500,MIMIC,hemo_pvals,KNN,3,1,0.7421571965308316,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.366621,81.405057,16.503746,2599.886504
67,2500,MIMIC,hemo_pvals,KNN,3,2,0.7313731556720057,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.5794010000000003,83.43637199999999,17.986055,2668.241503
68,2500,MIMIC,hemo_pvals,KNN,3,3,0.7308902095973882,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.2193240000000003,82.614082,17.154732,2642.033018
69,2500,MIMIC,hemo_pvals,KNN,3,4,0.7388064345056169,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.513699,80.950013,18.005444,2588.682516
70,2500,MIMIC,hemo_pvals,KNN,4,0,0.7346412835180844,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.468019,76.702812,16.69585,2452.837857
71,2500,MIMIC,hemo_pvals,KNN,4,1,0.7310981974529687,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.253462,77.470823,19.327851000000003,2477.4858600000002
72,2500,MIMIC,hemo_pvals,KNN,4,2,0.7103216778147294,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.199925,82.42490500000001,14.714235,2632.184647
73,2500,MIMIC,hemo_pvals,KNN,4,3,0.7413376725986356,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.792726,80.645297,16.115672,2578.986215
74,2500,MIMIC,hemo_pvals,KNN,4,4,0.7231181090538148,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.203143,75.61591,12.761512,2418.1683399999997
75,2500,MIMIC,hemo_pvals,KNN+mask,0,0,0.7865069388977419,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.611004,122.926308,15.752820999999999,3927.54856
76,2500,MIMIC,hemo_pvals,KNN+mask,0,1,0.7581879683772157,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.2700810000000002,116.005641,15.680298,3706.217782
77,2500,MIMIC,hemo_pvals,KNN+mask,0,2,0.7728160735776457,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.715788,117.691652,13.175462,3760.1462100000003
78,2500,MIMIC,hemo_pvals,KNN+mask,0,3,0.7422459150020086,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.1461120000000005,116.295207,15.452629,3719.236267
79,2500,MIMIC,hemo_pvals,KNN+mask,0,4,0.7210126851016401,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.075411,116.601905,16.737320999999998,3729.0583119999997
80,2500,MIMIC,hemo_pvals,KNN+mask,1,0,0.7463523374684944,roc_auc_score,ANOVA,"(30836, 100)",Classification,6.108242,122.185084,24.106693,3907.603849
81,2500,MIMIC,hemo_pvals,KNN+mask,1,1,0.7708342341106125,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.327376,126.161652,17.563875,4034.9827649999997
82,2500,MIMIC,hemo_pvals,KNN+mask,1,2,0.773288577108477,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.974435,123.497743,17.095126999999998,3949.927186
83,2500,MIMIC,hemo_pvals,KNN+mask,1,3,0.7453139516268578,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.383465,119.684556,18.017621,3827.813407
84,2500,MIMIC,hemo_pvals,KNN+mask,1,4,0.7631471410515813,roc_auc_score,ANOVA,"(30836, 100)",Classification,4.381143,122.255853,14.632689000000001,3910.0366380000005
85,2500,MIMIC,hemo_pvals,KNN+mask,2,0,0.7259567549234219,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.206784,165.903221,12.321096,5188.594966
86,2500,MIMIC,hemo_pvals,KNN+mask,2,1,0.721292821441563,roc_auc_score,ANOVA,"(30836, 100)",Classification,3.048867,138.390378,16.920146,4366.7694409999995
